0,Adding one and two makes three.," One, two, three", Number
1,Adding one and two makes three., added, Operator
3,Adding one and two makes three., And if you do, Others
4, The value of the factorial of five is one hundred and twenty.," Five, one hundred and twenty", Number
5, The value of the factorial of five is one hundred and twenty., of the factorial, Operator
7, The value of the factorial of five is one hundred and twenty., value, Others
9, The square root of a negative number is a composite number., square root, Operator
10, The square root of a negative number is a composite number.," Negative numbers, composite numbers", Common Mathematical Terms
11, The square root of a negative number is a composite number., Hall, Others
12, Many people mistake one for prime number., one, Number
14, Many people mistake one for prime number., Prime numbers, Common Mathematical Terms
15, Many people mistake one for prime number., Many people think wrongly., Others
16, One is not a prime number., one, Number
18, One is not a prime number., Prime numbers, Common Mathematical Terms
19, One is not a prime number.,"No, no", Others
20, Add one and three to four.," One, three, four", Number
21, Add one and three to four., added, Operator
23, Add one and three to four., And if you do, Others
24, Adding one to one makes two.," One, one, two", Number
25, Adding one to one makes two., added, Operator
27, Adding one to one makes two., And if you do, Others
28, Adding eleven and two makes thirteen," Eleven, two, thirteen", Number
29, Adding eleven and two makes thirteen, added, Operator
31, Adding eleven and two makes thirteen, And if you do, Others
32," If you subtract five from seven, you get two."," Seven, five, two", Number
33," If you subtract five from seven, you get two.", minus, Operator
35," If you subtract five from seven, you get two.", If you do, Others
36, Subtracting two from three equals one.," Three, two, one", Number
37, Subtracting two from three equals one., minus, Operator
39, Subtracting two from three equals one., If you do, Others
40, Subtracting four from six equals two.," Six, four, two", Number
41, Subtracting four from six equals two., minus, Operator
43, Subtracting four from six equals two., If you do, Others
44, Subtracting four from five equals one.," Five, four, one", Number
45, Subtracting four from five equals one., minus, Operator
47, Subtracting four from five equals one., If you do, Others
48,Adding one and five makes six.," One, five, six", Number
49,Adding one and five makes six., added, Operator
51,Adding one and five makes six., And if you do, Others
52, Adding three and three makes six.," Three, three, six", Number
53, Adding three and three makes six., added, Operator
55, Adding three and three makes six., And if you do, Others
56," If you subtract four from eight, you get four."," Eight, four, four", Number
57," If you subtract four from eight, you get four.", minus, Operator
59," If you subtract four from eight, you get four.", If you do, Others
60, Subtracting five from ten is five.," Ten, five, five", Number
61, Subtracting five from ten is five., minus, Operator
63, Subtracting five from ten is five., If you do, Others
64, Eighteen players of the Sri Lankan national cricket team have come to play in Bangladesh. Bangladesh team also has eighteen players. There are total thirty six players in two teams.," Eighteen, eighteen, thirty-six", Number
65, Eighteen players of the Sri Lankan national cricket team have come to play in Bangladesh. Bangladesh team also has eighteen players. There are total thirty six players in two teams., added, Operator
67, Eighteen players of the Sri Lankan national cricket team have come to play in Bangladesh. Bangladesh team also has eighteen players. There are total thirty six players in two teams.,Sri Lankan national cricket team players have come to play in Bangladesh. There are also public players in the Bangladesh team. Both teams have public players., Others
68, A school has twenty-six female and twenty-five male students in the second class. There are total fifty one students in the second class.," Twenty-six, twenty-five, fifty-one", Number
69, A school has twenty-six female and twenty-five male students in the second class. There are total fifty one students in the second class., added, Operator
71, A school has twenty-six female and twenty-five male students in the second class. There are total fifty one students in the second class., In a school class there are public students and public students in the class there are public students, Others
72,There are twenty-six rose trees and forty beli trees in the garden of creation. There are a total of sixty six trees in the garden," Twenty-six, forty, sixty-six", Number
73,There are twenty-six rose trees and forty beli trees in the garden of creation. There are a total of sixty six trees in the garden, added, Operator
75,There are twenty-six rose trees and forty beli trees in the garden of creation. There are a total of sixty six trees in the garden, There are three rose trees and three bee trees in the garden of creation. There are trees in the garden, Others
76, Ali plucked two weeping dabs from their tree. There are nineteen dubs in one cry and eighteen dubs in the other cry. There are forty seven dubs in total.," Two, nineteen, eighteen, forty seven", Number
77, Ali plucked two weeping dabs from their tree. There are nineteen dubs in one cry and eighteen dubs in the other cry. There are forty seven dubs in total., added, Operator
79, Ali plucked two weeping dabs from their tree. There are nineteen dubs in one cry and eighteen dubs in the other cry. There are forty seven dubs in total.,Ali plucked them from the tree. One tear has a T dub and the other has a T dub. There are t dubs together, Others
80," If you multiply six by two, you get twelve."," Six, two, twelve", Number
81," If you multiply six by two, you get twelve.", quality, Operator
83," If you multiply six by two, you get twelve.", You can do it with, Others
84, Two multiplied by two is four.," Two, two, four", Number
85, Two multiplied by two is four., quality, Operator
87, Two multiplied by two is four., You can do it with, Others
88," If you multiply two by three, you get six."," Two, three, six", Number
89," If you multiply two by three, you get six.", quality, Operator
91," If you multiply two by three, you get six.", You can do it with, Others
92, Multiplying three by three gives nine.," Three, three, nine", Number
93, Multiplying three by three gives nine., quality, Operator
95, Multiplying three by three gives nine., You can do it with, Others
96," If you subtract seven from eight, you get one."," Eight, seven, one", Number
97," If you subtract seven from eight, you get one.", minus, Operator
99," If you subtract seven from eight, you get one.", If you do, Others
100,Twenty divided by ten is two.," Twenty, ten, two", Number
101,Twenty divided by ten is two., share, Operator
103,Twenty divided by ten is two., You can do it with, Others
104, Twenty-five divided by five is five.," Five, five, five", Number
105, Twenty-five divided by five is five., share, Operator
107, Twenty-five divided by five is five., You can do it with, Others
108, Five multiplied by two is ten.," Five, two, ten", Number
109, Five multiplied by two is ten., quality, Operator
111, Five multiplied by two is ten., You can do it with, Others
112, Three multiplied by seven is twenty one.," Three, seven, twenty one", Number
113, Three multiplied by seven is twenty one., quality, Operator
115, Three multiplied by seven is twenty one., You can do it with, Others
116, Six multiplied by three equals eighteen.," Six, three, eighteen", Number
117, Six multiplied by three equals eighteen., quality, Operator
119, Six multiplied by three equals eighteen., You can do it with, Others
